Symbol,Name
BIL,Bhartiya International
BILENERGY,Bil Energy Systems 
BIOCON,Biocon 
BIOFILCHEM,Biofil Chem & Pharma 
BIRLACABLE,Birla Cable 
BIRLACORPN,Birla Corporation 
BIRLAMONEY,Aditya Birla Money 
BIRLATYRE,Birla Tyres 
BLISSGVS,Bliss Gvs Pharma 
BLKASHYAP,B.L.Kashyap & Son 
BLS,Bls Intl Servs 
BLUEDART,Blue Dart Express 
BLUESTARCO,Blue Star 
BODALCHEM,Bodal Chemicals 
BOMDYEING,Bombay Dyeing & MfgCo
BORO,Borosil 
BORORENEW,Borosil Renewables 
BORORENEW,Borosil Renewables 
BOROSIL,Borosil Renewables 
BOSCH,Bosch 
BPCL,Bharat Petroleum Corp 
BRIGADE,Brigade Enter
BRITANNIA,Britannia Industries 
BRITANNIA,8.00% Sec Red Ncd
BRNL,Bharat Road Network 
BROOKS,Brooks Lab 
BSE,Bse 
BS,Bs 
BSOFT,Birlasoft 
BUTTERFLY,Btrfly Gandhi Appl 
BUTTERFLY,Btrfly Gandhi Appl 
BYKE,The Byke Hospitality 
CADILAHC,Cadila Healthcare 
CAMLINFINE,Camlin Fine Sciences 
CANBK,Canara Bank
CANFINHOME,Can Fin Homes 
CANTABIL,Cantabil Retail 
CAPACITE,Capacite Infraproject 
CAPLIPOINT,Caplin Point Lab 
CARBORUNIV,Carborundum Universal 
CAREERP,Career Point 
CARERATING,Care Ratings 
CASTROLIND,Castrol India 
CCL,Ccl Products  
CDSL,Central Depo Ser  
CEAT,Ceat 
CENTENKA,Century Enka 
CENTRALBK,Central Bank Of India
CENTRUM,Centrum Capital 
CENTUM,Centum Electronics 
CENTURYPLY,Century Plyboards  
CENTURYTEX,Century Textiles 
CERA,Cera Sanitaryware 
CEREBRAINT,Cerebra Int Tech 
CESC,Cesc 
CESCVENT,Cesc Ventures 
CGCL,Capri Global Capital 
CGPOWER,Cg Power And Ind Sol 
CGPOWER,Cg Power And Ind Sol 
CGPOWER,Cg Power And Ind Sol 
CHALET,Chalet Hotels 
CHAMBLFERT,Chambal Fertilizers 
CHENNPETRO,Chennai Petroleum Corp
CHOLAFIN,Cholamandalam In & Fin Co
CHOLAHLDNG,Cholamandalam Fin Hol 
CIGNITITEC,Cigniti Technologies 
CINELINE,Cineline India 
CIPLA,Cipla 
CLNINDIA,Clariant Chemicals (India
CMICABLES,Cmi 
COALINDIA,Coal India 
COCHINSHIP,Cochin Shipyard 
COFORGE,Coforge 
COLPAL,Colgate Palmolive 
CONCOR,Container Corp Of Ind 
CONFIPET,Confidence Petro Ind 
CONTROLPR,Control Print 
CORDSCABLE,Cords Cable Indus 
COROMANDEL,Coromandel Interntl
COSMOFILMS,Cosmo Films 
COX&KINGS,Cox & Kings 
COX&KINGS,Cox & Kings 
CPSEETF,Cpse Etf
CREDITACC,Creditaccess Grameen 
CRISIL,Crisil 
CROMPTON,Crompt Grea Con Elec 
CSBBANK,Csb Bank 
CUB,City Union Bank 
CUMMINSIND,Cummins India 
CUPID,Cupid 
CYIENT,Cyient 
DAAWAT,Lt Foods 
DABUR,Dabur India 
DALBHARAT,Dalmia Bharat 
DALMIASUG,Dalmia Bharat Sug In 
DATAMATICS,Datamatics Global Ser 
DBCORP,dB.Corp 
DBL,Dilip Buildcon 
DCAL,Dishman Carbo Amcis 
DCBBANK,Dcb Bank 
DCMSHRIRAM,Dcm Shriram 
DCW,Dcw 
DECCANCE,Deccan Cements 
DEEPAKFERT,Deepak Fertilizers & Petr
DEEPAKNTR,Deepak Nitrite 
DEEPIND,Deep Industries 
DELTACORP,Delta Corp 
DEN,Den Networks 
DFMFOODS,Dfm Foods 
DHAMPURSUG,Dhampur Sugar Mills 
DHANBANK,Dhanlaxmi Bank 
DHANUKA,Dhanuka Agritech 
DHARSUGAR,Dharani Sugars & Chemical
DHFL,Dewan Housing Fin Corp
DHUNINV,Dhunseri Investments 
DIAMONDYD,Prataap Snacks 
DISHTV,Dish Tv India 
DIVISLAB,Divi'S Laboratories 
DIXON,Dixon Techno  
DLF,Dlf 
DLINKINDIA,D-Link India 
DMART,Avenue Supermarts 
DMART,Avenue Supermarts 
DOLAT,Dolat Investments 
DOLLAR,Dollar Industries 
DPL,Dhunseri Petrochem 
DREDGECORP,Dredging Corp Of India
DRREDDY,DrReddy'S Laboratories
DTIL,Dhunseri Tea & Ind
DWARKESH,Dwarikesh Sugar Ind 
DYNAMATECH,Dynamatic Technologies
DYNPRO,Dynemic Products 
EBBETF0423,Edelamc - Ebbetf0423
EBBETF0430,Edelamc - Ebbetf0430
ECLERX,Eclerx Services 
EDELWEISS,Edelweiss Fin Serv 
EICHERMOT,Eicher Motors 
EIDPARRY,Eid Parry India 
EIHAHOTELS,Eih Associated Hotels 
EIHOTEL,Eih 
EKC,Everest Kanto Cylinder
ELECON,Elecon EngCo
ELECTCAST,Electrosteel Castings 
ELECTHERM,Electrotherm  
ELGIEQUIP,Elgi Equipments 
EMAMI,Emami 
EMAMIREAL,Emami Realty 
EMBASSY,Embassy Office Parks Reit
EMKAY,Emkay Global Fin Serv 
ENDURANCE,Endurance Techno
ENGINERSIN,Engineers India 
EQUITAS,Equitas Holdings 
ERIS,Eris Lifesciences 
EROSMEDIA,Eros Intl Media 
ESABINDIA,Esab India 
ESCORTS,Escorts India 
ESSELPACK,Essel Propack 
ESTER,Ester Industries 
EVEREADY,Eveready IndsInd 
EVERESTIND,Everest Industries 
EXCELINDUS,Excel Industries 
EXIDEIND,Exide Industries 
FACT,Fact 
FAIRCHEM,Fairchem Speciality 
FCL,Fineotex Chemical 
FCONSUMER,Future Consumer 
FDC,Fdc 
FEDERALBNK,Federal Bank 
FEL,Future Enterprises 
FIEMIND,Fiem Industries 
FILATEX,Filatex India 
FINANTECH,Financial Techno  
FINCABLES,Finolex Cables 
FINEORG,Fine Organic Ind
FINPIPE,Finolex Industries 
FLFL,Fut Lifestyle Fash 
FLUOROCHEM,Gujarat Fluorochem 
FMGOETZE,Federal-Mogul Goetze (Ind
FMNL,Future Mkt Networks 
FORCEMOT,Force Motors 
FORTIS,Fortis Healthcare 
FOSECOIND,Foseco India 
FRETAIL,Future Retail 
FSC,Future Supp Chain Sol 
FSL,Firstsource Solu
GABRIEL,Gabriel India 
GAEL,Gujarat Ambuja Exports
GAIL,Gail  
GALAXYSURF,Galaxy Surfactants 
GANECOS,Ganesha Ecosphere 
GANESHHOUC,Ganesh Housing Corp 
GARFIBRES,Garware Tech Fibres 
GATI,Gati 
GAYAPROJ,Gayatri Projects 
GDL,Gateway Distriparks 
GENESYS,Genesys Intl Corpn 
GENUSPAPER,Genus P&B 
GENUSPOWER,Genus Power Infrastru 
GEOJITFSL,Geojit Financial Ser L
GEPIL,Ge Power India 
GESHIP,The Ge Shpg.
GET&D,Ge T&D India 
GFL,Gfl 
GHCL,Ghcl 
GICHSGFIN,Gic Housing Finance 
GICRE,General Ins Corp Of India
GILLETTE,Gillette India 
GIPCL,Guj Ind Pow Co
GLAXO,Glaxosmithkline Pharma
GLENMARK,Glenmark Pharmaceuticals
GLOBALVECT,Global Vec Helicorp 
GLOBUSSPR,Globus Spirits 
GMBREW,G M Breweries 
GMDC,Gujarat Mineral Dev Corp
GMMPFAUDLR,Gmm Pfaudler 
GMRINFRA,Gmr Infrastructure 
GNA,Gna Axles 
GNFC,Guj Nar Val Fer & Chem L
GOACARBON,Goa Carbon 
GOACARBON,Goa Carbon 
GOCLCORP,Gocl Corporation 
GODFRYPHLP,Godfrey Phillips India
GODREJAGRO,Godrej Agrovet 
GODREJCP,Godrej Consumer Products
GODREJIND,Godrej Industries 
GODREJPROP,Godrej Properties 
GOKEX,Gokaldas Exports 
GOLDBEES,Nipp Ind Etf Gold Bees
GOLDIAM,Goldiam International 
GOLDSHARE,Uti Gold Etf
GOODLUCK,Goodluck India 
GPIL,Godawari Pow & Isp 
GPPL,Gujarat Pipavav Port 
GPTINFRA,Gpt Infraprojects 
GRANULES,Granules India 
GRAPHITE,Graphite India 
GRASIM,Grasim Industries 
GRAVITA,Gravita India 
GREAVESCOT,Greaves Cotton 
GREENLAM,Greenlam Industries 
GREENPLY,Greenply Industries 
GREENPOWER,Orient Green Power Co 
GRINDWELL,Grindwell Norton 
GRSE,Garden Reach Ship&Eng 
GSFC,Guj State Fert & Chem 
GSPL,Gujarat State Petro 
GSS,Gss Infotech 
GTPL,Gtpl Hathway 
GUFICBIO,Gufic Biosciences 
GUJALKALI,Gujarat Alkalies & Chem
GUJFLUORO,Gujarat Fluorochemicals L
GUJGAS,Gujarat Gas 
GULFOILLUB,Gulf Oil LubInd
GULPOLY,Gulshan Polyols 
GVKPIL,Gvk Pow& Infra 
GVKPIL,Gvk Pow& Infra 
HAL,Hindustan Aeronautics 
HAPPSTMNDS,Happiest Minds Techno 
HARRMALAYA,Harrison Malayalam 
HATHWAY,Hathway Cable & Datacom
HATHWAY,Hathway Cable & Datacom
HATSUN,Hatsun Agro Product 
HAVELLS,Havells India 
HBLPOWER,Hbl Power Systems 
HCC,Hindustan Construction Co
HCG,Healthcare GlobEnt
HCL-INSYS,Hcl Infosystems-Depo Sett
HCL-INSYS,Hcl Infosystems 
HCLTECH,Hcl Technologies 
HDFC,Hdfc 
HDFCAMC,Hdfc Amc 
HDFCBANK,Hdfc Bank 
HDFCLIFE,Hdfc Life Ins Co 
HDFCMFGETF,Hdfc Gold Etf
HDFCNIFETF,Hdfcamc - Hdfcnifetf
HDIL,Housing Dev & Infra 
HEG,Heg 
HEIDELBERG,Heidelbergcement  
HERCULES,Hercules Hoi
HERITGFOOD,Heritage Foods 
HEROMOTOCO,Hero Motocorp 
HESTERBIO,Hester Biosciences 
HEXAWARE,Hexaware Technologies 
HFCL,Hfcl 
HGINFRA,H.G.Infra Engineering 
HGS,Hinduja Global Sols
HIKAL,Hikal 
HIL,Hil 
HILTON,Hilton Metal Forging 
HIMATSEIDE,Himatsingka Seide 
HINDALCO,Hindalco  Industries  
HINDCOMPOS,Hindustan Composites 
HINDCOPPER,Hindustan Copper 
HINDOILEXP,Hindustan Oil Exploration
HINDPETRO,Hindustan Petroleum Corp
HINDUNILVR,Hindustan Unilever 
HINDZINC,Hindustan Zinc 
HIRECT,Hind Rectifier 
HITECHGEAR,The Hi-Tech Gears 
HLV,Hlv 
HMVL,Hindustan Media Vent 
HNDFDS,Hindustan Foods 
HONAUT,Honeywell Automation Ind
HONDAPOWER,Honda I Power Product 
HOVS,Hov Services 
HPL,Hpl Electric & Power 
HSCL,Himadri Speciality Chem L
HSIL,Hsil 
HTMEDIA,Ht Media 
HUDCO,Hsg & Urban Dev Corpn 
IBREALEST,Indiabulls Real Est
IBSEC,Indiabulls Sec
IBULHSGFIN,Indiabulls Hsg Fin 
IBULISL,Indiabulls Integr Ser 
IBVENTURES,Indiabulls Ventures 
ICICIB22,Icicipramc - Bharatiwin
ICICIBANK,Icici Bank 
ICICIBANKN,Icicipramc - Ipru5008
ICICIGI,Icici Lombard Gic 
ICICIGOLD,Icici Prudential Gold Etf
ICICIMCAP,Icici Prud Midcap Sel Etf
ICICINIFTY,Icici Prud Nifty Etf
ICICIPRULI,Icici Pru Life Ins Co 
ICIL,Indo Count Industries 
ICRA,Icra 
IDBI,Idbi Bank 
IDBIGOLD,Idbi Mf - Idbi Gold Etf
IDEA,Vodafone Idea 
IDFC,Idfc 
IDFCBANK,Idfc Bank 
IDFCFIRSTB,Idfc First Bank 
IEX,Indian Energy Exc 
IFBAGRO,Ifb Agro Industries 
IFBIND,Ifb Industries 
IFCI,Ifci 
IGARASHI,Igarashi Motors India 
IGL,Indraprastha Gas 
IGPL,I G Petrochemicals 
IIFL,Iifl Finance 
IIFLSEC,Iifl Securities 
IIFLWAM,Iifl Wealth Mgmt 
IL&FSENGG,Il&Fs Eng And Cons Co 
IMFA,Indian Metals & Ferro
IMPAL,Ind Motor Part & Acc 
INDBANK,Indbank Merch Bank
INDHOTEL,The Indian Hotels Co
INDIACEM,The India Cements 
INDIAGLYCO,India Glycols 
INDIAMART,Indiamart Intermesh 
INDIANB,Indian Bank
INDIANHUME,Indian Hume Pipe Co
INDIGO,Interglobe Aviation 
INDIGRID,India Grid Trust
INDNIPPON,India Nippon Elect  
INDOCO,Indoco Remedies 
INDOSTAR,Indostar Capital Fin 
INDRAMEDCO,Indraprastha Medical Corp
INDUSINDBK,Indusind Bank 
INEOSSTYRO,Ineos Styrolution Ind 
INFIBEAM,Infibeam Avenues 
INFOSYSTCH,Infosys Technologies 
INFOTECENT,Infotech Enterprises 
INFRATEL,Bharti Infratel 
INFY,Infosys 
INGERRAND,Ingersoll-Rand India 
INOXLEISUR,Inox Leisure 
INOXWIND,Inox Wind 
INSECTICID,Insecticides  
INTELLECT,Intellect Design Arena
IOB,Indian Overseas Bank
IOC,Indian Oil Corp 
IOLCP,Iol Chem And Pharma 
IPAPPM,Andhra Paper 
IPCALAB,Ipca Laboratories 
IRB,Irb Infra Dev 
IRBINVIT,Irb Invit Fund
IRCON,Ircon International 
IRCTC,Indian Rail Tour Corp 
ISEC,Icici Securities 
ISFT,Intrasoft Tech
ITC,Itc 
ITDC,India TourDevCo
ITDCEM,Itd Cementation India 
ITI,Iti 
IVC,Il&Fs Investment Managers
IVRCLINFRA,Ivrcl 
J&KBANK,J & K Bank 
JAGRAN,Jagran Prakashan 
JAICORP,Jai Corp 
JAMNAAUTO,Jamna Auto Ind 
JAYAGROGN,Jayant Agro Organics 
JAYBARMARU,Jay Bharat Maruti 
JAYSREETEA,Jaysreetea - Depo Sett
JAYSREETEA,Jayshree Tea & Industries
JBCHEPHARM,J B Chemicals And Pharma
JBFIND,Jbf Industries 
JBMA,Jbm Auto 
JCHAC,Johnson Controls Hitachi
JETAIRWAYS,Jet Airways  
JHS,Jhs SvendLab
JINDALPOLY,Jindal Poly Films 
JINDALSAW,Jindal Saw 
JINDALSTEL,Jindal Steel & Power 
JINDWORLD,Jindal Worldwide 
JISLJALEQS,Jain Irrigation Systems
JISLJALEQS,Jain Irrigation Systems
JIYAECO,Jiya Eco-Products 
JKCEMENT,Jk Cement 
JKIL,Jkumar Infr.
JKLAKSHMI,Jk Lakshmi Cement 
JKPAPER,Jk Paper 
JKTYRE,Jk Tyre & Industries 
JMCPROJECT,Jmc Projects  
JMFINANCIL,Jm Financial 
JOCIL,Jocil 
JPASSOCIAT,Jaiprakash Associates 
JPPOWER,Jaiprakash Power Ven
JSL,Jindal Stainless 
JSLHISAR,Jindal Stainless (H) 
JSWENERGY,Jsw Energy 
JSWSTEEL,Jsw Steel 
JTEKTINDIA,Jtekt India 
JUBILANT,Jubilant Life Science 
JUBLFOOD,Jubilant Foodworks 
JUBLINDS,Jubilant Industries 
JUBLINDS,Jubilant Industries 
JUMPNET,Jump Networks 
JUNIORBEES,Nip India Etf Junior Bees
JUSTDIAL,Justdial 
JYOTHYLAB,Jyothy Labs 
KAJARIACER,Kajaria Ceramics 
KAKATCEM,Kakatiya Cem Sugar &Ind L
KALPATPOWR,Kalpataru Power TransLt
KAMATHOTEL,Kamat Hotels  
KANORICHEM,Kanoria Chemicals & Indus
KANSAINER,Kansai Nerolac Paints 
KARDA,Karda Constructions 
KARURVYSYA,Karur Vysya Bank 
KAYA,Kaya 
KAYA,Kaya 
KCP,Kcp 
KCPSUGIND,Kcp Sugar Ind Corp 
KEC,Kec Intl
KEI,Kei Industries 
KENNAMET,Kennametal India 
KESORAMIND,Kesoram Industries 
KHADIM,Khadim India 
KILITCH,Kilitch Drugs India 
KINGFA,Kingfa Sci & Tec Ind 
KIOCL,Kiocl 
KIRIINDUS,Kiri Industries 
KIRLOSBROS,Kirloskar Brothers 
KIRLOSENG,Kirloskar Oil Eng 
KITEX,Kitex Garments 
KKCL,Kewal Kiran Clothing 
KNRCON,Knr Constru 
KOHINOOR,Kohinoor Foods 
KOHINOOR,Kohinoor Foods 
KOKUYOCMLN,Kokuyo Camlin 
KOLTEPATIL,Kolte Patil Dev
KOPRAN,Kopran 
KOTAKBANK,Kotak Mahindra Bank 
KOTAKBKETF,Kotakmamc-Kotakbketf
KOTAKGOLD,Kotak Gold Etf
KOTAKNIFTY,Kotak Nifty Etf
KOTAKNV20,Kotakmamc - Ktknv20etf
KPIT,Kpit Technologies 
KPITTECH,Kpit Technologies 
KPRMILL,Kpr Mill 
KRBL,Krbl 
KRIDHANINF,Kridhan Infra 
KRIDHANINF,Kridhan Infra 
KSB,Ksb 
KSCL,Kaveri Seed Co
KSERASERA,Kss 
KSL,Kalyani Steels 
KTKBANK,Karnataka Bank 
KWALITY,Kwality 
KWALITY,Kwality 
L&TFH,L&T Finance Holdings 
LAKSHVILAS,Lakshmi Vilas Bank 
LALPATHLAB,DrLal Path Labs 
LAOPALA,La Opala Rg 
LAURUSLABS,Laurus Labs 
LAXMIMACH,Lakshmi Machines 
LEEL,Leel Electricals 
LEMONTREE,Lemon Tree Hotels 
LGBBROS,Lg Balakrishnan & Bros
LIBERTSHOE,Liberty Shoes 
LICHSGFIN,Lic Housing Finance 
LINCOLN,Lincoln Pharma 
LINDEINDIA,Linde India 
LIQUIDBEES,Nip Ind Etf Liquid Bees
LIQUIDETF,Dsp Liquid Etf
LOKESHMACH,Lokesh Machines 
LOVABLE,Lovable Lingerie 
LT,Larsen & Toubro 
LTI,L&T Infotech 
LTTS,L&T Technology Ser
LUMAXIND,Lumax Industries 
LUMAXTECH,Lumax Auto Tech 
LUPIN,Lupin 
LUXIND,Lux Industries 
M&M,Mahindra & Mahindra 
M&MFIN,M&M FinServices 
MADRASFERT,Madras Fertilisers 
MAGMA,Magma Fincorp 
MAHABANK,Bank Of Maharashtra
MAHEPC,Mahindra Epc Irrig 
MAHESHWARI,Maheshwari Logistics 
MAHINDCIE,Mahindra Cie Auto 
MAHLIFE,Mahindra Lifespace Dev
MAHLOG,Mahindra Logistic 
MAHSCOOTER,Maharashtra Scooters 
MAHSEAMLES,Maharashtra Seamless 
MAITHANALL,Maithan Alloys 
MAJESCO,Majesco 
MAN50ETF,Miraeamc - Man50etf
MANALIPETC,Manali Petrochemicals
MANAPPURAM,Manappuram Finance 
MANGCHEFER,Mang.Chem.Fert.
MANGLMCEM,Mangalam Cement 
MANINDS,Man Industries  
MANINFRA,Man Infra 
MANXT50,Miraeamc - Manxt50
MARICO,Marico 
MARKSANS,Marksans Pharma 
MARUTI,Maruti Suzuki India 
MASFIN,Mas Financial Serv 
MASTEK,Mastek 
MATRIMONY,Matrimony.Com 
MAWANASUG,Mawana Sugars 
MAXHEALTH,Max Healthcare Ins 
MAXIND,Max India 
MAXVIL,Max Ventures And Inds 
MAYURUNIQ,Mayur Uniquoters 
MAZDA,Mazda 
MCDOWELL-N,United Spirits 
MCLEODRUSS,Mcleod Russel India 
MCX,Multi Commodity Exchange
MEGH,Meghmani Organics 
MENONBE,Menon Bearings 
MEP,Mep InfraDevelopers 
MERCATOR,Mercator 
MERCK,Merck 
METROPOLIS,Metropolis Healthcare 
MFSL,Max Financial Serv 
MGL,Mahanagar Gas 
MHRIL,Mahindra Holidays 
MIDHANI,Mishra Dhatu Nigam 
MINDA-RE,Minda Industries Re
MINDACORP,Minda Corporation 
MINDAIND,Minda Industries 
MINDSPACE,Mindspace Business P Reit
MINDTREE,Mindtree 
MIRCELECTR,Mirc Electronics 
MIRZAINT,Mirza International Limit
MMFL,Mm Forgings 
MMTC,Mmtc 
MOIL,Moil 
MOLDTKPAC,Mold-Tek Packaging 
MONTECARLO,Monte Carlo Fashions 
MOREPENLAB,Morepen Lab
MOTHERSUMI,Motherson Sumi Systems
MOTILALOFS,Motilal Oswal Fin 
MPHASIS,Mphasis 
MPS,Mps 
MRF,Mrf 
MRPL,Mrpl
MSTC,Mstc 
MTEDUCARE,Mt Educare 
MTNL,Mtnl - DepoSett.
MTNL,Mahanagar Telephone Nigam
MUNJALAU,Munjal Auto Ind
MUNJALSHOW,Munjal Showa 
MUTHOOTCAP,Muthoot Cap Serv 
MUTHOOTFIN,Muthoot Finance 
N100,Most Shares N100 Etf
NACLIND,Nacl Industries 
NAGAFERT,Nagarjun Fert And Che 
NAHARINDUS,Nahar Inds Ent 
NAHARPOLY,Nahar Poly Films 
NAM-INDIA,Nippon L I A M 
NATCOPHARM,Natco Pharma 
NATHBIOGEN,Nath Bio-Genes  
NATIONALUM,National Aluminium Co 
NAUKRI,Info Edge  
NAVINFLUOR,Navin Fluorine Int
NAVKARCORP,Navkar Corporation 
NAVNETEDUL,Navneet Education 
NAVNETPUBL,Navneet Publication I 
NBCC,Nbcc  
NBVENTURES,Nava Bharat Ventures Limi
NCC,Ncc 
NCLIND,Ncl Industries 
NECLIFE,Nectar Lifesciences 
NELCAST,Nelcast 
NELCO,Nelco 
NEOGEN,Neogen Chemicals 
NEOGEN,Neogen Chemicals 
NESCO,Nesco 
NESTLEIND,Nestle India 
NETFIT,Relcapamc Netfit
NETFMID150,Ni I Etf Nifty Midcap 150
NETWORK18,Network18 Media & Inv 
NETWORK18,Network18 Media & Inv 
NEULANDLAB,Neuland Lab 
NEWGEN,Newgen Software Tech 
NFL,National Fert
NH,Narayana Hrudayalaya 
NHPC,Nhpc 
NIACL,The New India Assu Co 
NICOLASPIR,Nicolas Piramal India 
NIFTYBEES,Nippo Ind Etf Nifty Bees
NIIT,Niit 
NIITTECH,Coforge 
NILASPACES,Nila Spaces 
NILKAMAL,Nilkamal 
NITCO,Nitco 
NITINSPIN,Nitin Spinners 
NLCINDIA,Nlc India 
NMDC,Nmdc 
NOCIL,Nocil 
NRAIL,N R Agarwal Inds 
NRBBEARING,Nrb Bearing 
NSIL,Nalwa Sons Investment 
NTPC,Ntpc 
NUCLEUS,Nucleus Software Exports
OAL,Oriental Aromatics 
OBEROIRLTY,Oberoi Realty 
OCCL,Oriental Carbn & Chem 
OFSS,Oracle Fin Serv Soft 
OIL,Oil India 
OLECTRA,Olectra Greentech 
OMAXE,Omaxe 
OMMETALS,Om Metals Infrapro 
ONGC,Oil And Natural Gas Corp.
ONMOBILE,Onmobile Global 
OPTOCIRCUI,Opto Circuits  
ORICONENT,Oricon Enterprises 
ORIENTCEM,Orient Cement 
ORIENTELEC,Orient Electric 
ORIENTPPR,Orient Paper And Inds 
ORIENTREF,Orient Refractories 
ORISSAMINE,Orissa Min Dev Co 
PAGEIND,Page Industries 
PAISALO,Paisalo Digital 
PANACEABIO,Panacea Biotec 
PANAMAPET,Panama Petrochem 
PAPERPROD,Huhtamaki Ppl 
PARACABLES,Paramount Comm 
PARAGMILK,Parag Milk Foods 
PATELENG,Patel Engineering 
PCJEWELLER,Pc Jeweller 
PCJEWELLER,Pc Jeweller 
